brand,product_name,parent_category,child_category,price,materials
Hollister,Seamless Fabric Long-Sleeve Crew Top,Tops,Long-Sleeve Tops,$19.95,"Body:88% Polyester, 12% Elastane"
Hollister,Zip-Up Hoodie,Tops,Hoodies & Sweatshirts,$44.95,"Body And Hood Lining:60% Cotton, 40% Polyester"
Hollister,Class of '26 Baggy Sweatpants,Bottoms,Sweatpants,$49.95,"Body And Pocket Bag:60% Cotton, 40% Polyester / Embroidery:100% Polyester"
Hollister,Oversized Class of '26 Graphic Hoodie,Tops,Hoodies & Sweatshirts,$49.95,"Applique:60% Cotton, 40% Polyester / Body And Hood Lining:60% Cotton, 40% Polyester / Embroidery:100% Polyester"
Hollister,Crinkle Shine Flyaway Babydoll Top,Tops,Blouses,$39.95,"Body:100% Viscose / Elastic:71% Polyester, 29% Elastane / Lining:100% Polyester"
Hollister,Low-Rise Medium Wash Star Graphic Baggy Jeans,Bottoms,Jeans,$59.95,"Body:100% Cotton / Pocket Bag:80% Polyester, 20% Cotton"
Hollister,Easy Satin Tie Babydoll Top,Tops,Blouses,$29.95,"Body:100% Viscose / Elastic:67% Polyester, 33% Elastane / Lining:100% Polyester"
Hollister,Mid-Rise Khaki Boot Jeans,Bottoms,Jeans,$49.95,"Body:98% Cotton, 2% Elastane / Pocket Bag:80% Polyester, 20% Cotton"
Hollister,Easy Satin Tie Babydoll Top,Tops,Blouses,$29.95,"Body:100% Viscose / Elastic:67% Polyester, 33% Elastane / Lining:100% Polyester"
Hollister,Low-Rise Denim Mini Skort,Bottoms,Skirts,$39.95,"Body:100% Cotton / Lining:88% Polyester, 12% Elastane / Pocket Bag:80% Polyester, 20% Cotton"
Hollister,Easy Crew Sweater,Tops,Sweaters & Cardigans,$39.95,"Body:60% Cotton, 40% Polyester"
Hollister,Curvy High-Rise Medium Wash Flare Jeans,Bottoms,Jeans,$49.95,"Body:98% Cotton, 2% Elastane / Pocket Bag:80% Polyester, 20% Cotton"
Hollister,Easy Crew Sweater,Tops,Sweaters & Cardigans,$39.95,"Body:60% Cotton, 40% Polyester"
Hollister,Seamless Fabric Scoop Top,Tops,Long-Sleeve Tops,$19.95,"Body:88% Polyester, 12% Elastane"
Hollister,Seamless Fabric Scoop Top,Tops,Long-Sleeve Tops,$19.95,"Body:88% Polyester, 12% Elastane"
Hollister,Gilly Hicks Active Recharge Flare Leggings,Bottoms,Leggings,$49.95,"Body:89% Recycled Polyester, 11% Elastane"
Hollister,Satin Strapless Bow Bodycon Dress,Dresses,Mini Dresses,$69.95,"Body:94% Polyester, 6% Elastane / Lace:100% Nylon / Lining:85% Polyester, 15% Elastane / Pad Foam:100% Polyurethane / Pad Lining:100% Polyester"
Hollister,Class of '26 Oxford Boxer Shorts,Bottoms,Sleep Bottoms,$19.95,"Body And Pocket Bag:100% Cotton / Elastic:61% Nylon, 25% Polyester, 14% Elastane"
Hollister,Class of '26 Short-Sleeve Cotton Shirt,Sleepwear,Tops,$29.95,Body:100% Cotton
Hollister,2026 Graphic Baggy Sweatpants,Bottoms,Sweatpants,$49.95,"Applique:60% Cotton, 40% Polyester / Body And Pocket Bag:60% Cotton, 40% Polyester / Embroidery:100% Polyester"
Hollister,Oversized Class of '26 Graphic Hoodie,Tops,Hoodies & Sweatshirts,$49.95,"Applique:60% Cotton, 40% Polyester / Body And Hood Lining:60% Cotton, 40% Polyester / Embroidery:100% Polyester"
Hollister,Easy Crew Sweater,Tops,Sweaters & Cardigans,$39.95,"Body:60% Cotton, 40% Polyester"
Hollister,Senior Graphic Baggy Sweatpants,Bottoms,Sweatpants,$49.95,"Applique:100% Cotton / Body And Pocket Bag:60% Cotton, 40% Polyester / Embroidery:100% Polyester"
Hollister,Oversized Senior Graphic Hoodie,Tops,Hoodies & Sweatshirts,$49.95,"Applique:60% Cotton, 40% Polyester / Body And Hood Lining:60% Cotton, 40% Polyester / Embroidery:100% Polyester"
Hollister,Bow Graphic Baggy Sweatpants,Bottoms,Sweatpants,$49.95,"Body And Pocket Bag:60% Cotton, 40% Polyester"
Hollister,Taylor Reversible Tube Top,Tops,Tube Tops,$14.95,"Body:96% Cotton, 4% Elastane"
Hollister,Class of '26 Baggy Sweatpants,Bottoms,Sweatpants,$49.95,"Applique:60% Cotton, 40% Polyester / Body And Pocket Bag:60% Cotton, 40% Polyester / Embroidery:100% Polyester"
Hollister,Oversized Class of '26 Graphic Hoodie,Tops,Hoodies & Sweatshirts,$49.95,"Applique:100% Cotton / Body And Hood Lining:60% Cotton, 40% Polyester / Embroidery:100% Polyester"
Hollister,Oversized Senior Graphic Hoodie,Tops,Hoodies & Sweatshirts,$49.95,"Applique:100% Cotton / Body And Hood Lining:60% Cotton, 40% Polyester / Embroidery:100% Polyester"
Hollister,Low-Rise Washed Black Denim Mini Skort,Bottoms,Skirts,$39.95,"Body:100% Cotton / Lining:88% Polyester, 12% Elastane / Pocket Bag:80% Polyester, 20% Cotton"
Hollister,Class of '26 Baggy Sweatpants,Bottoms,Sweatpants,$49.95,"Applique:60% Cotton, 40% Polyester / Body And Pocket Bag:60% Cotton, 40% Polyester / Embroidery:100% Polyester"
Hollister,Oversized Class of '26 Graphic Hoodie,Tops,Hoodies & Sweatshirts,$49.95,"Applique:100% Cotton / Body And Hood Lining:60% Cotton, 40% Polyester / Embroidery:100% Polyester"
Hollister,Low-Rise Denim Mini Skort,Bottoms,Skirts,$39.95,"Body:100% Cotton / Lining:88% Polyester, 12% Elastane / Pocket Bag:80% Polyester, 20% Cotton"
Hollister,Low-Rise Medium Wash Baggy Jeans,Bottoms,Jeans,$49.95,"Body:100% Cotton / Pocket Bag:80% Polyester, 20% Cotton"
Hollister,Class of '26 Graphic Baggy Sweatpants,Bottoms,Sweatpants,$49.95,"Body And Pocket Bag:60% Cotton, 40% Polyester / Embroidery:100% Polyester"
Hollister,Low-Rise Class of '26 Denim Mini Skort,Bottoms,Skirts,$44.95,"Body:100% Cotton / Lining:88% Polyester, 12% Elastane / Pocket Bag:80% Polyester, 20% Cotton"
Hollister,Low-Rise Dark Wash Class of '26 Embroidered Baggy Jeans,Bottoms,Jeans,$59.95,"Body:100% Cotton / Pocket Bag:80% Polyester, 20% Cotton"
Hollister,Senior Graphic Baggy Sweatpants,Bottoms,Sweatpants,$49.95,"Applique:100% Cotton / Body And Pocket Bag:60% Cotton, 40% Polyester / Embroidery:100% Polyester"
Hollister,Oversized Senior Graphic Hoodie,Tops,Hoodies & Sweatshirts,$49.95,"Applique:100% Cotton / Body And Hood Lining:60% Cotton, 40% Polyester / Embroidery:100% Polyester"
Hollister,Button-Front Mini Dress,Dresses,Mini Dresses,$49.95,"Body:100% Cotton / Elastic:68% Polyester, 32% Elastodiene / Lining:100% Polyester"
Hollister,Button-Front Mini Dress,Dresses,Mini Dresses,$49.95,"Body:100% Cotton / Elastic:68% Polyester, 32% Elastodiene / Lining:100% Polyester"
Hollister,Short-Sleeve Tuxedo Shirt,Tops,Button-Down Shirts,$39.95,"Body:66% Cotton, 31% Polyester, 3% Elastane"
Hollister,Short-Sleeve Tuxedo Shirt,Tops,Button-Down Shirts,$39.95,"Body:66% Cotton, 31% Polyester, 3% Elastane"
Hollister,Ruched Babydoll Top,Tops,Blouses,$29.95,"Body:100% Cotton / Elastic:69% Polyester, 31% Elastane / Lining:100% Polyester"
Hollister,Ruched Babydoll Top,Tops,Blouses,$29.95,"Body:100% Cotton / Elastic:69% Polyester, 31% Elastane / Lining:100% Polyester"
Hollister,Stretch Poplin Button-Through Shirt,Tops,Button-Down Shirts,$39.95,"Body:60% Cotton, 36% Polyester, 4% Elastane"
Hollister,Button-Front Mini Dress,Dresses,Mini Dresses,$49.95,"Body:100% Cotton / Elastic:71% Polyester, 29% Elastane / Lining:100% Polyester"
Mexx,Bodywarmer Belted Black,Coats and jackets,,€129.99,100% Polyester
Mexx,Jacket Puffer Anthracite,Coats and jackets,,€169.99,"78% Polyester, 4% Elastane, 18% Viscose"
Mexx,Long puffer Jacket Beige,Coats and jackets,,€189.99,100% Polyamide
Mexx,Teddy Jacket Brown,Coats and jackets,,€159.99,100% Polyester
Mexx,Short Puffer Jacket Off White,Coats and jackets,,€169.99,100% Polyester
Mexx,Short Puffer Jacket Blue,Coats and jackets,,€169.99,100% Polyester
Mexx,Skirt Ruffle Strings Cream,Dresses and skirts,,€69.99,100% Polyester
Mexx,T-shirt Primrose Rib Dark Red,Tops and shirts,,€39.99,100% Cotton
Mexx,Pants Buttoned Waist Light Pink,Trousers,,€99.99,"72% Polyester, 23% Viscose, 5% Elastane"
Mexx,Dress Bold flower Pink,Dresses and skirts,,€119.99,100% Viscose
Mexx,Blouse Embroidery Off White,Blouse Embroidery Off White,,€89.99,100% Viscose
Mexx,Blouse Puff Sleeve Gathering Pink,Blouse Puff Sleeve Gathering Pink,,€89.99,100% Viscose
Mexx,Blouse Rosa Black,Blouse Rosa Black,,€59.99,100% Cotton
Mexx,Jeans Classic slim Blue,Trousers,,€89.99,"98% Cotton, 2% Elastane"
Mexx,Wrap Dress Long Sleeve Black,Dresses and skirts,,€99.99,100% Viscose
Mexx,Top Striped Black/White,Tops and shirts,,€54.99,"35% Polyester, 65% Cotton"
Mexx,Bomberjack Long Sleeve Black,Coats and jackets,,€119.99,"72% Polyester, 22% Viscose, 6% Elastane"
Mexx,Pants Belted Tapered Black,Trousers,,€109.99,"72% Polyester, 22% Viscose, 6% Elastane"
Mexx,Top V-back Cream,Tops and shirts,,€59.99,"95% Viscose, 5% Elastane"
Mexx,Knit cardigan Peony Cream,Sweaters and cardigans,,€69.99,"80% Viscose, 20% Polyamide"
Mexx,Top Knitted Relief Brown,Tops and shirts,,€59.99,"65% Viscose, 35% Polyamide"
Mexx,Spencer Fancy Mustard Yellow,Tops and shirts,,€79.99,"60% Cotton, 40% Acrylic"
Mexx,T-shirt Print Cream,Tops and shirts,,€39.99,100% Cotton
Mexx,Top Gerbera Mustard Yellow,Tops and shirts,,€54.99,"80% Viscose, 20% Polyamide"
Mexx,Knit Cardigan Peony Mustard Yellow,Sweaters and cardigans,,€69.99,"80% Viscose, 20% Polyamide"
Mexx,Pants Tweed Straight Taupe,Trousers,,€119.99,100% Polyester
Mexx,Skirt Tweed Taupe,Dresses and skirts,,€79.99,100% Polyester
Mexx,Gilet Sleeveless Tweed Taupe,Tops and shirts,,€99.99,100% Polyester
Mexx,Blouse Chamomile Tencel Green,Blouse Chamomile Tencel Green,,€79.99,"86% Lyocell, 14% Polyester"
Mexx,Blouse Heavy lace White,Blouse Heavy lace White,,€79.99,"71% Viscose, 29% Polyamide"
Mexx,Top Woven Allover Print Beige,Tops and shirts,,€79.99,100% Viscose
Mexx,Dress Heavy lace Yellow Brown,Dresses and skirts,,€119.99,"71% Viscose, 29% Polyamide"
Mexx,Skirt Satin Printed Maxi Beige,Dresses and skirts,,€89.99,100% Viscose
Mexx,Bomberjack Tweed Oversized Taupe,Coats and jackets,,€139.99,100% Polyester
Mexx,T-shirt Embroidery Oversized Black,Tops and shirts,,€39.99,100% Cotton
Mexx,Skirt Iceflower Multi Black,Dresses and skirts,,€89.99,"97% Polyester, 3% Elastane"
Mexx,Long Coat Logo Quilted Dark Red,Coats and jackets,,€209.00,100% Polyester
